Serial Number,Excel Timestamp,Station,Wafer ID,PCBA ID,ChassisSlot,CNR,CSO-,CTB,CSO+,LIP Peak Power,Wavelength,SMSR,SMSR Iop,Flat,Chassis,Slot,Slot 2dig
BFHC205,9/20/17 3:28 AM,322,21273350,DQ0H1529,305,52.25007034,58.26169993,68.67,45.18375536,,1539.766,27.84,41.53,0.65273,3,5,05
BFHB821,9/20/17 3:23 AM,322,21463350,H17031800099,232,51.73583154,61.83135149,67.65760538,49.03888005,,1542.143,34.69,51.68,0.55118,2,32,32
BFHB838,9/20/17 3:18 AM,322,21463350,DQ0G1398,231,52.43597234,58.62473922,68.5,44.34178619,,1542.146,34.71,53.96,0.49844,2,31,31
BFI0850,9/20/17 3:13 AM,322,21386350,DQ0H1594,230,51.90259433,57.74143495,68.5,44.01178619,,1554.133,36.19,53.97,0.66055,2,30,30
BFHC170,9/20/17 3:04 AM,322,21217350,DQ0H0542,228,51.73583154,59.75240943,67.34,44.84375536,,1535.82,38.91,53.91,0.52187,2,28,28
BFI0674,9/20/17 3:00 AM,322,21386350,40,227,,,,,,,,,0.66641,2,27,27
BFI1960,9/20/17 2:55 AM,322,21014350,DQ0G0878,226,52.60391926,57.89330673,69.70480831,43.17938109,,1531.91,28.33,49.77,0.2582,2,26,26
BFI1595,9/20/17 2:50 AM,322,21341350,H17031800100,224,48.81024881,58.66135149,64.49088539,49.74792462,,1535.82,32.27,49.95,0.51797,2,24,24
BFI1409,9/20/17 2:45 AM,322,21297350,DQ0H0756,223,52.41739146,59.13473922,70.55252913,43.84092271,,1536.606,30.66,48.04,0.39687,2,23,23
BFHA222,9/20/17 2:40 AM,322,21381350,28,222,53.30083503,59.8061994,58.54657225,46.01430538,,1558.978,34.16,54.43,0.50039,2,22,22
BFHC152,9/20/17 2:35 AM,322,21154350,DQ0H0465,221,52.59785847,58.95403786,69.49102143,45.0127474,,1535.826,33.81,54.37,0.36758,2,21,21
BFH5794,9/20/17 2:18 AM,322,21252350,H17031800131,210,52.25785847,60.6101556,68.23314654,47.85643049,,1559.795,34.73,51.02,0.51211,2,10,10
BFHC238,9/20/17 2:13 AM,322,21273350,H17031800194,209,52.08007034,62.91940367,65.92627577,53.08752929,,1539.77,29.35,48.09,0.77383,2,9,09
BFI0843,9/20/17 2:07 AM,322,21386350,H17031800155,206,52.25785847,60.97688121,66.42627577,48.69085504,,1554.127,34.37,51.23,0.67421,2,6,06
BFI0480,9/20/17 2:02 AM,322,21599350,DQ0H1389,205,51.73583154,55.9995247,68.5,44.68430538,,1531.897,30.23,52.9,0.40468,2,5,05
BFI1074,9/20/17 1:52 AM,322,21386350,DQ0G1222,131,52.41739146,57.19067025,68.67,43.68052714,,1554.122,32.3,51.97,0.36758,1,31,31
BFI0559,9/20/17 1:42 AM,322,21599350,DQ0G1221,129,51.55892478,60.31688121,67.67,45.5180171,,1531.901,32.48,49.48,0.44375,1,29,29
BFI1541,9/20/17 1:36 AM,322,L21007350,H17031800049,128,52.25007034,63.24940367,64.79652895,50.21364805,,1530.329,35.2,51.52,0.24843,1,28,28
