Batch,Chip,Date,SN
12931240,EF132,2017-03-17 05:44:00,CFB7404
6051220,DG117,2017-03-17 07:45:00,BFC4625
12921220,KF144,2017-07-21 22:37:00,BFC4534
12931220,XF152,2017-07-24 11:32:00,BFC4525
12929220,FK163,2017-03-17 09:44:00,BFC4518
12324250,XE170,2017-03-17 06:44:00,BFC3601
10332250,JJ095,2017-03-17 10:40:00,BFC3597
9704260,JJ156,2017-03-17 07:10:00,BFC3587
9580250,EH181,2017-03-17 02:37:00,BFC3581
9580250,EH165,2017-03-17 02:30:00,BFC3578
9559250,GD161,2017-03-17 07:33:00,BFC3570
12243261,FH095,2017-03-17 07:35:00,BFC3565
11372260,SF100,2017-03-17 02:52:00,BFC3561
11372260,XF090,2017-03-17 02:45:00,BFC3560
11372260,YF091,2017-03-17 02:43:00,BFC3557
12957260,KJ065,2017-03-17 02:17:00,BFC3539
12957260,JJ054,2017-03-17 07:12:00,BFC3536
12957260,HJ076,2017-07-15 23:05:00,BFC3525
12434260,NE091,2017-03-17 02:21:00,BFC3521
12434260,SE106,2017-03-17 07:37:00,BFC3520
12434260,XE104,2017-03-17 02:50:00,BFC3519
12434260,SE091,2017-03-17 02:47:00,BFC3517
12434260,NE105,2017-03-17 03:03:00,BFC3516
5787220,DH159,2017-03-17 06:47:00,BFC3512
12932260,VF088,2017-03-17 02:23:00,BFC3509
12957260,WH084,2017-03-17 07:17:00,BFC3451
12957260,WH059,2017-03-17 06:57:00,BFC3449
12932260,SF059,2017-03-17 07:00:00,BFC3444
12932260,SF058,2017-03-17 02:54:00,BFC3442
12932260,HH075,2017-03-17 06:38:00,BFC3431
12932260,KF062,2017-03-17 06:50:00,BFC3425
12932260,VF058,2017-03-17 07:29:00,BFC3422
12932260,KF082,2017-03-17 02:41:00,BFC3421
12932260,KF060,2017-03-17 02:39:00,BFC3420
12932260,FH060,2017-03-17 02:55:00,BFC3419
12932260,TF059,2017-03-17 02:28:00,BFC3414
12932260,LF072,2017-03-17 07:28:00,BFC3408
12352250,YF169,2017-07-25 23:23:00,BFC3405
8915250,GD182,2017-03-17 02:19:00,BFC3403
11924170,SF069,2017-03-17 06:13:00,BFC3387
11924170,SF077,2017-03-17 06:11:00,BFC3386
11924170,FH090,2017-04-20 19:38:00,BFC3383
11924170,XF066,2017-03-17 06:06:00,BFC3381
11924170,FH097,2017-03-17 07:42:00,BFC3375
12419250,YF158,2017-03-17 02:35:00,BFC2736
12419250,YF124,2017-03-17 06:54:00,BFC2726
12419260,YF154,2017-03-17 07:07:00,BFC2694
12419260,SJ075,2017-07-26 22:26:00,BFC2692
12419260,YF178,2017-03-17 06:52:00,BFC2688
12419260,YF177,2017-03-17 02:33:00,BFC2687
12451260,SH113,2017-03-17 02:58:00,BFC2684
12451260,UH093,2017-03-17 03:00:00,BFC2678
12451260,TH092,2017-08-02 14:57:00,BFC2666
12451260,SH106,2017-03-17 07:20:00,BFC2659
12278260,UF179,2017-03-17 09:39:00,BFC2643
11612260,XH098,2017-03-17 10:42:00,BFC2638
12349320,JK088,2017-03-17 05:55:00,BFC2628
12537330,WF087,2017-03-17 05:58:00,BFC2619
10495350,FA133,2017-03-17 10:45:00,BFC2576
10687380,KF126,2017-03-17 06:29:00,BFC2572
10622380,FB095,2017-03-17 06:32:00,BFC2564
7712210,CP107,2017-03-17 02:14:00,BFC2524
7712210,CP160,2017-03-17 09:57:00,BFC2523
10309210,VJ168,2017-03-17 02:17:00,BFC2509
8869210,FE156,2017-03-17 07:05:00,BFC2487
9181210,CM130,2017-03-17 02:10:00,BFC2471
8706210,EC136,2017-03-17 03:31:00,BFC2435
7246210,GE184,2017-03-17 02:24:00,BFC2426
8909210,EE178,2017-03-17 02:22:00,BFC2420
8869210,FG159,2017-03-17 03:19:00,BFC2408
10313210,FH146,2017-03-17 03:22:00,BFC2401
10310210,YF141,2017-04-20 08:50:00,BFC2400
7162210,FN172,2017-03-17 03:20:00,BFC2390
7162210,FN167,2017-03-17 03:11:00,BFC2389
7162210,EE152,2017-03-17 03:15:00,BFC2355
11230210,DB202,2017-03-17 02:12:00,BFC2047
12200220,VE170,2017-03-17 03:06:00,BFC1988
11231210,CJ183,2017-03-17 09:47:00,BFC1986
10190260,JJ150,2017-03-17 06:36:00,BFC1923
9705260,MJ121,2017-03-17 09:50:00,BFC1885
11612260,YH077,2017-03-17 07:14:00,BFC1873
11612260,XH085,2017-03-17 07:26:00,BFC1868
12367260,SH109,2017-03-17 02:20:00,BFC1861
12367260,SH115,2017-03-17 06:34:00,BFC1858
12084510,SF089,2017-03-17 06:15:00,BFC1262
12084510,JH068,2017-03-17 06:26:00,BFC1248
11373210,EE121,2017-03-17 10:36:00,BFC1198
12715280,VF068,2017-03-17 05:53:00,BFB4706
13075380,VF050,2017-07-24 11:18:00,BFB3750
13075380,YF059,2017-04-20 22:30:00,BFB3748
12871220,JH126,2017-03-17 07:02:00,BFB3739
12871220,HJ134,2017-03-17 03:28:00,BFB3730
8884210,FE097,2017-03-17 03:17:00,BFB3655
12091510,NF070,2017-03-17 05:56:00,BFB3566
5640510,DD091,2017-03-17 06:21:00,BFB1875
11694510,JJ093,2017-07-19 17:26:00,BFB1868
7712210,CP138,2017-03-17 07:31:00,BFB1041
11144260,FC137,2017-03-17 05:49:00,BFB0915
12645210,JJ074,2017-03-17 00:58:00,CFB9658
12412200,XJ126,2017-03-16 22:48:00,CFB9537
12412200,FK106,2017-07-22 06:38:00,CFB9535
11977470,UF087,2017-04-21 01:42:00,CFB8711
11977470,UF069,2017-04-20 22:23:00,CFB8709
12227200,MF188,2017-03-16 21:21:00,CFB8590
11029200,DJ166,2017-03-17 01:01:00,CFB7959
12749200,HH098,2017-04-13 10:00:00,CFB5693
9957210,EM201,2017-03-16 22:42:00,CFB4836
7180190,CP132,2017-03-16 23:51:00,CFB2631
12865220,CK135,2017-03-16 22:55:00,CFB1903
12924240,HK140,2017-03-16 10:57:00,CFB0287
12649200,XH094,2017-10-12 18:47:00,CFAA088
9704260,CJ161,2017-03-17 01:41:00,BFC3592
12957260,KJ066,2017-03-17 01:27:00,BFC3540
12957260,MJ078,2017-03-17 01:38:00,BFC3533
12434260,SE101,2017-03-17 01:33:00,BFC3514
12932260,HF076,2017-03-16 22:02:00,BFC3424
12932260,TF070,2017-03-17 00:46:00,BFC3409
8915250,GD198,2017-03-17 01:30:00,BFC3402
12419250,SJ068,2017-03-16 21:10:00,BFC2732
10196250,DL208,2017-03-16 23:56:00,BFC2717
10196250,DJ177,2017-03-17 01:34:00,BFC2715
12451260,LF182,2017-03-16 21:37:00,BFC2676
12451260,UH062,2017-03-16 22:35:00,BFC2655
12451260,LF162,2017-03-16 12:16:00,BFC2647
12349320,CJ063,2017-03-16 22:05:00,BFC2635
12349320,CJ095,2017-03-16 11:17:00,BFC2632
12464320,CF102,2017-03-16 22:22:00,BFC2626
12249320,CH175,2017-08-02 01:50:00,BFC2597
8566380,DH139,2017-03-17 01:07:00,BFC2563
12720380,EK166,2017-03-17 01:04:00,BFC2552
12776380,XJ115,2017-03-16 22:13:00,BFC2550
10313210,FH144,2017-03-16 10:54:00,BFC2541
7712210,DC098,2017-03-17 01:52:00,BFC2528
8704210,EB140,2017-03-16 22:31:00,BFC2516
8704210,EB131,2017-03-17 00:48:00,BFC2515
8704210,EM132,2017-03-16 05:52:00,BFC2514
10309210,FJ159,2017-03-17 01:47:00,BFC2510
8869210,FH178,2017-03-16 10:48:00,BFC2488
8869210,FC166,2017-03-16 23:37:00,BFC2482
